Sample,Cq,Calculated Concentration,Given Concentration,% Variation
10^3,25.44,3.96E+02,2.72E+02,45.39
10^3,24.91,5.60E+02,2.72E+02,105.9
10^3,24.67,6.54E+02,2.72E+02,140.45
10^3,26.65,1.80E+02,2.72E+02,33.94
10^3,26.73,1.71E+02,2.72E+02,37.26
10^3,25.92,2.90E+02,2.72E+02,6.45
10^3,25.54,3.71E+02,2.72E+02,36.25
10^3,26.19,2.44E+02,2.72E+02,10.49
10^3,26.16,2.48E+02,2.72E+02,8.71
10^4,22.5,2.70E+03,2.72E+03,0.67
10^4,22.91,2.07E+03,2.72E+03,23.98
10^4,22.55,2.62E+03,2.72E+03,3.87
10^5,19.35,2.11E+04,2.72E+04,22.27
10^5,19.4,2.04E+04,2.72E+04,24.91
10^5,19.18,2.36E+04,2.72E+04,13.14
10^5,19.33,2.15E+04,2.72E+04,21.12
10^5,19.79,1.59E+04,2.72E+04,41.57
10^6,15.5,2.62E+05,2.72E+05,3.76
10^6,15.82,2.12E+05,2.72E+05,22.05
10^7,12.02,2.54E+06,2.72E+06,6.73
10^7,11.95,2.65E+06,2.72E+06,2.61
10^8,8.24,2.99E+07,2.72E+07,9.84
10^8,8.23,3.01E+07,2.72E+07,10.8
10^8,8.22,3.02E+07,2.72E+07,10.99
10^8,8.06,3.37E+07,2.72E+07,23.75
10^8,8.03,3.42E+07,2.72E+07,25.72
10^8,8.34,2.79E+07,2.72E+07,2.59
10^8,8.05,3.38E+07,2.72E+07,24.18
10^8,8.05,3.38E+07,2.72E+07,24.43
10^8,8.71,2.20E+07,2.72E+07,19.08
10^8,8.53,2.47E+07,2.72E+07,9.22
