Sample,Run,Dilution_Factor,Sample_Stage,Sample_Type,Pair,DNA_Conc,Starting_amount
A1,A,100,Art,Feed/Water,Art_Stage,12.9,0.446
A2,B,1,Art,Feed/Water,Art_Stage,15.6,0.283
A3,B,1,Art,Feed/Water,Art_Stage,14,0.3
MA1,B,1,Macro,Feed/Water,Macro_Stage,2.48,0.068
MA2,B,1,Macro,Feed/Water,Macro_Stage,12.3,0.068
MA3,B,1,Macro,Feed/Water,Macro_Stage,4.7,0.063
MI1,C,100,Micro,Feed/Water,Micro_Stage,8.2,0.052
MI2,E,100,Micro,Feed/Water,Micro_Stage,6.96,0.064
MI3,E,100,Micro,Feed/Water,Micro_Stage,2.22,0.064
R1,E,1,Rot,Feed/Water,Rot_Stage,0.02,0.422
R2,C,1,Rot,Feed/Water,Rot_Stage,0.056,0.426
R3,E,1,Rot,Feed/Water,Rot_Stage,0.0496,0.531
W1,E,1,Water,Feed/Water,Yolk_Stage,0.202,1000
W2,B,1,Water,Feed/Water,Yolk_Stage,0.0298,1000
W3,B,1,Water,Feed/Water,Yolk_Stage,0.188,1000
A_T2_n5,A,100,L14-18,Larvae,Art_Stage,2.3,0.01
A_T2_n8,C,1,L14-18,Larvae,Art_Stage,1.52,0.004
A_T2_n9,C,1,L14-18,Larvae,Art_Stage,5.76,0.007
Ma_T2_n10,B,1,L49-53,Larvae,Macro_Stage,1.6,0.175
Ma_T2_n3,A,100,L49-53,Larvae,Macro_Stage,3.58,0.19
Ma_T2_n5,E,10,L49-53,Larvae,Macro_Stage,3.9,0.157
Mi_T2_n10,B,1,L29-35,Larvae,Micro_Stage,6.38,0.018
Mi_T2_n2,B,1,L29-35,Larvae,Micro_Stage,7.26,0.028
Mi_T2_n4,B,1,L29-35,Larvae,Micro_Stage,14.2,0.065
R_T2_n4,B,1,L3-9,Larvae,Rot_Stage,1.48,0.048
R_T2_n5,E,1,L3-9,Larvae,Rot_Stage,5.48,0.043
R_T2_n8,C,1,L3-9,Larvae,Rot_Stage,1.6,0.064
Y_T1_n2,C,1,L1,Larvae,Yolk_Stage,4.5,0.054
Y_T1_n5,C,1,L1,Larvae,Yolk_Stage,3.26,0.054
Y_T1_n9,C,1,L1,Larvae,Yolk_Stage,3.91,0.059
